Job Title,Description,Why It May Seem Unrelated
2LT,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
2d lt,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
42R- Army bandsman,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Accounts Receivable Rep,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Accounts receivable,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Actuarial Trainee,A professional uses statistical methods to assess risk in insurance and finance.,"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Agent,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Aircraft Maintenance,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Ambulatory Surgery Aide,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
American Culture and Language Ambassador,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Application Data Management,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Assessor,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Athletic Facilities Support,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Au Pair,Live-in foreign childcare provider,"Cultural exchange program, typically temporary and not career-oriented."
Audit,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Audit Assistance,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
Auditer,A specialized professional role. (Description not available - requires further research.),"This role has a unique or uncommon title that doesn't fit standard job classification categories, or it represents a niche specialization."
