Major,Major Cluster,Major Subcluster,Academic Division,Degree Level,Graduation Year,Job Title,Job Function,Company,Industry Group,State
Electrical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2022,Research Scientist,Research & Science,Cargill,Manufacturing & Industrial,MN
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2019,Brand Manager,Marketing & Communications,McGough Construction,Construction / Engineering / Real Estate,CA
COJO Strategic Communications,COMMUNICATION & MEDIA,,College of Arts and Sciences,Bachelor's,2025,Software Engineer,Software & IT,Deloitte,Professional Services & Consulting,MN
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2023,Contract Specialist,Legal,Cargill,Manufacturing & Industrial,MA
Data Analytics,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2022,Analytics Consultant,Data & Analytics,Toro Company,Manufacturing & Industrial,MN
Computer Science,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2024,Registered Nurse,Healthcare & Clinical,Target (Tech),Technology & Software,MN
Biology,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2022,Talent Acquisition Specialist,Human Resources,Optum,Healthcare & Medical,MN
Manufacturing Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2021,Civil Engineer,Engineering,NextEra Energy,Energy & Utilities,CA
Real Estate Studies,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2022,Sales Representative,Sales & Business Development,CBRE Group,Construction / Engineering / Real Estate,MN
Psychology,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2020,Case Manager,Nonprofit & Social Services,Securian Financial,Financial Services & Insurance,CO
Mechanical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2020,Analytics Consultant,Data & Analytics,Honeywell,Manufacturing & Industrial,WI
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,Team Lead,Management & Leadership,US Bank,Financial Services & Insurance,MN
Educational Studies,EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2020,Assistant Manager,Management & Leadership,Wayzata Public Schools,Education & Academia,GA
Catholic Studies,"ARTS, LANGUAGES & THEOLOGY",,College of Arts and Sciences,Bachelor's,2022,UX Designer,Design & Creative,Boston Consulting Group,Professional Services & Consulting,OH
Electrical Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2023,Financial Analyst,Finance & Accounting,General Mills,Manufacturing & Industrial,FL
Gen Business Mgmt,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2024,Scientist,Research & Science,PwC,Professional Services & Consulting,IA
Computer Engineering,ENGINEERING & TECHNOLOGY,,School of Engineering,Bachelor's,2024,Electrical Engineer,Engineering,Honeywell,Manufacturing & Industrial,GA
Entrepreneurship,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2025,Brand Manager,Marketing & Communications,Grant Thornton,Professional Services & Consulting,WI
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2021,Financial Analyst,Finance & Accounting,General Mills,Retail & Consumer Products,MN
Marketing Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2019,UX Designer,Design & Creative,McKinsey,Professional Services & Consulting,TX
Neuroscience,NATURAL & HEALTH SCIENCES,,College of Arts and Sciences,Bachelor's,2019,Clinical Research Associate,Research & Science,Hennepin County,Government & Public Service,NE
Political Science,SOCIAL SCIENCES & HUMANITIES,,College of Arts and Sciences,Bachelor's,2023,Social Media Manager,Marketing & Communications,Osseo Area Schools,Education & Academia,CA
Elementary Education (K-6),EDUCATION & SOCIAL SERVICES,,School of Education,Bachelor's,2021,Business Intelligence Analyst,Data & Analytics,Peace Corps,Government & Public Service,CA
Financial Management,BUSINESS & MANAGEMENT,,Opus College of Business,Bachelor's,2024,Compliance Analyst,Legal,Google,Technology & Software,OH
