Employing Organization,Position Location - State,Job Title,Company Industry (Specific),Industry Group (1 of 10),Job Title Description
148 FW,Minnesota,Cyber Security Specialist,Government - Military (Air National Guard),6. Government & Public Service,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization."
3M,Minnesota,Finance Analyst,Diversified Technology & Manufacturing,1. Technology & Software,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
3M,Minnesota,Customer Issue Resolution Analyst,Diversified Technology & Manufacturing,1. Technology & Software,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
3M,Minnesota,O2 Engineer,Diversified Technology & Manufacturing,1. Technology & Software,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline."
3M,Minnesota,Credit Analyst,Diversified Technology & Manufacturing,1. Technology & Software,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
3M,Iowa,Supply Chain Analyst,Diversified Technology & Manufacturing,1. Technology & Software,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
3M,Wisconsin,Marketing Automation Analyst,Diversified Technology & Manufacturing,1. Technology & Software,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
3M,,Analyst,Diversified Technology & Manufacturing,1. Technology & Software,"Examines data and information to provide insights, recommendations, and support decision-making."
3M,Minnesota,Laboratory Technician III,Diversified Technology & Manufacturing,1. Technology & Software,"Maintains, troubleshoots, and operates technical equipment and systems to ensure reliable day-to-day performance."
3M,Minnesota,Tech Aid,Diversified Technology & Manufacturing,1. Technology & Software,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
3M,Minnesota,Technical Analyst,Diversified Technology & Manufacturing,1. Technology & Software,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Ecolab,Illinois,associate financial analyst,Diversified - Hygiene & Infection Prevention,4. Manufacturing & Industrial,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Wintrust Bank,Illinois,Credit Analyst,Financial Services - Banking,3. Financial Services & Insurance,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions."
Abdallah Candies Inc.,Minnesota,Kitchen/Administrative Assistant,Manufacturing - Confectionery,4. Manufacturing & Industrial,"Handles administrative operations such as scheduling, correspondence, and document management to keep teams running smoothly."
Abdo,Minnesota,Audit Associate,Financial Services - Accounting & Advisory,3. Financial Services & Insurance,"Examines financial statements and business operations to ensure accuracy, compliance, and proper internal controls."
"AbelConn Electronics, a Celestica Company",Minnesota,Quality Engineer,Manufacturing - Electronics,4. Manufacturing & Industrial,Develops and implements quality control systems to ensure products meet standards and specifications.
Accenture,Minnesota,AWS Application Lead,Technology - IT Consulting,1. Technology & Software,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
Acosta,Florida,Associate Business Manager,Professional Services - Sales & Marketing Agency,7. Professional Services & Consulting,"Leads and directs teams by setting priorities, allocating resources, and driving performance toward organizational goals."
ACR Homes,Minnesota,Direct Care,Healthcare - Residential Care,2. Healthcare & Medical,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.)
