Employing Organization,Position Location - State,Job Title,Company Industry (Specific),Industry Group (1 of 10),Job Title Description,Job Title Classified Group
148 FW,Minnesota,Cyber Security Specialist,Government - Military (Air National Guard),6. Government & Public Service,"Leverages deep subject-matter expertise to tackle specialized challenges, serving as a go-to resource within the organization.",Software & IT
3M,Minnesota,Finance Analyst,Diversified Technology & Manufacturing,1. Technology & Software,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Finance & Accounting
3M,Minnesota,Customer Issue Resolution Analyst,Diversified Technology & Manufacturing,1. Technology & Software,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Sales & Business Development
3M,Minnesota,O2 Engineer,Diversified Technology & Manufacturing,1. Technology & Software,"Applies engineering principles to design, analyze, and solve complex technical challenges within a specialized discipline.",Engineering
3M,Minnesota,Credit Analyst,Diversified Technology & Manufacturing,1. Technology & Software,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Finance & Accounting
3M,Iowa,Supply Chain Analyst,Diversified Technology & Manufacturing,1. Technology & Software,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Operations & Supply Chain
3M,Wisconsin,Marketing Automation Analyst,Diversified Technology & Manufacturing,1. Technology & Software,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Marketing & Communications
3M,,Analyst,Diversified Technology & Manufacturing,1. Technology & Software,"Examines data and information to provide insights, recommendations, and support decision-making.",Software & IT
3M,Minnesota,Laboratory Technician III,Diversified Technology & Manufacturing,1. Technology & Software,"Maintains, troubleshoots, and operates technical equipment and systems to ensure reliable day-to-day performance.",Engineering
3M,Minnesota,Tech Aid,Diversified Technology & Manufacturing,1. Technology & Software,Specialized position requiring domain-specific expertise. (Further research needed to provide a detailed description.),Software & IT
3M,Minnesota,Technical Analyst,Diversified Technology & Manufacturing,1. Technology & Software,"Examines data sets, identifies trends, and delivers actionable insights that inform strategic and operational decisions.",Software & IT
